StudentID,Name,Section,Gender,Age,StudyHours,AttendancePercent,Marks,Midterm,Final,ExtraCurricular
S00001,Taylor Patel,D,F,17,6.21,77.1,19,13,19,Yes
S00002,Quinn Garcia,A,M,18,8.95,86.1,46,21,18,No
S00003,Avery Nguyen,B,O,16,7.42,73.3,50,24,25,No
S00004,Taylor Müller,A,M,18,6.16,89.8,36,14,19,Yes
S00005,Jordan Silva,A,O,18,12.83,86.2,78,46,47,No
S00006,Parker Shah,B,F,15,7.22,96.6,49,16,34,No
S00007,Alex Singh,D,F,16,4.7,92.5,49,18,33,Yes
S00008,Morgan Garcia,D,F,16,11.58,78.3,52,20,30,No
S00009,Peyton Kumar,D,F,16,9.6,82.1,63,32,33,Yes
S00010,Alex Müller,C,M,18,11.45,91.6,80,30,33,No
S00011,Morgan Müller,B,M,17,5.67,93.9,30,14,9,Yes
S00012,Parker Garcia,C,M,16,8.93,96.6,62,29,45,No
S00013,Sydney Silva,C,M,19,1.64,96.5,11,1,0,Yes
S00014,Quinn Patel,C,M,18,8.35,87.4,49,24,22,No
S00015,Riley Das,A,M,15,5.53,90.5,34,9,26,Yes
S00016,Robin Martinez,A,M,17,1.93,97.1,1,0,2,No
S00017,Casey Johnson,B,F,19,9.1,85.9,55,25,36,Yes
S00018,Robin Iyer,B,F,19,0.57,90.7,12,0,10,No
S00019,Jordan Khan,A,F,15,0.26,85.7,19,0,19,No
S00020,Taylor Jones,A,F,17,7.09,84.1,46,24,27,Yes
S00021,Cameron Kumar,C,M,18,7.71,88.3,64,35,39,No
S00022,Quinn Shah,D,F,14,8.91,83.2,51,20,24,Yes
S00023,Sydney Müller,D,F,17,8.23,87.1,47,17,29,No
S00024,Taylor Khan,D,F,15,10.43,80.8,55,31,28,Yes
S00025,Jordan Müller,D,F,19,8.1,86.7,44,13,21,No
S00026,Jamie Kumar,D,M,18,5.6,91.1,19,0,16,No
S00027,Cameron Silva,C,F,17,5.78,83.9,33,19,24,Yes
S00028,Morgan Singh,B,M,14,5.15,88.1,16,7,19,No
S00029,Sam Garcia,A,M,14,6.89,89.0,46,27,35,Yes
S00030,Jamie Singh,C,M,16,2.71,91.2,12,0,12,Yes
S00031,Avery Iyer,D,M,16,7.02,87.1,35,7,9,No
S00032,Drew Martinez,A,M,15,5.74,95.6,34,15,30,Yes
S00033,Sydney Jones,C,M,17,6.83,73.3,34,18,24,No
S00034,Riley Jones,D,F,17,6.84,100.0,46,26,21,No
S00035,Cameron Johnson,C,F,19,0.0,81.9,13,7,12,No
S00036,Quinn Singh,A,M,19,3.3,90.8,20,10,5,No
S00037,Blake Smith,B,F,19,5.67,81.4,37,14,24,Yes
S00038,Kendall Garcia,D,M,16,5.83,92.5,60,37,25,Yes
S00039,Riley Chen,A,F,17,6.78,89.9,45,14,20,No
S00040,Drew Martinez,A,F,17,6.91,83.4,38,19,25,No
S00041,Kendall Garcia,B,M,14,10.55,95.5,57,20,38,Yes
S00042,Robin Shah,C,M,16,6.94,86.9,40,21,24,Yes
S00043,Avery Shah,B,M,18,5.06,91.8,27,6,13,No
S00044,Robin Khan,B,M,16,1.2,81.6,13,10,0,Yes
S00045,Quinn Singh,C,F,18,1.89,87.8,17,8,8,No
S00046,Morgan Silva,C,F,14,7.61,100.0,33,25,21,No
S00047,Robin Johnson,C,F,15,9.18,94.7,56,24,29,Yes
S00048,Hayden Khan,A,M,17,10.62,90.2,70,34,38,No
S00049,Sydney Nguyen,A,M,14,3.52,84.9,20,4,10,Yes
S00050,Quinn Nguyen,D,F,17,5.09,88.5,28,11,13,No
S00051,Avery Müller,D,M,19,6.73,89.4,30,14,17,Yes
S00052,Kendall Martinez,B,F,15,12.14,91.1,54,15,28,No
S00053,Charlie Das,B,M,15,6.34,80.5,43,11,32,No
S00054,Charlie Khan,D,M,14,10.65,92.7,61,31,20,No
S00055,Cameron Garcia,B,M,15,6.51,80.4,43,18,20,No
S00056,Casey Lopez,C,F,18,9.46,99.4,71,28,34,Yes
S00057,Hayden Singh,A,F,15,9.08,82.6,58,22,33,No
S00058,Sam Iyer,D,M,17,6.5,90.1,36,12,20,No
S00059,Casey Smith,A,F,17,2.94,95.0,26,12,24,No
S00060,Parker Kumar,D,M,17,5.19,86.2,28,15,27,Yes
S00061,Jordan Khan,A,F,17,10.47,90.4,55,12,26,Yes
